domain,mode,acc_mean,acc_std,abst_mean,hall_mean,cons_mean,learn_mean,learnN_mean,note_len_raw_mean,note_len_final_mean,note_selfc_mean,rel_note_len_mean,comp_gain_mean,note_ansb_mean
linear_regression,direct,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_regression,rag,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_regression,student_note,1.0,0.0,0.0,0.0,1.0,2.0,1.0,648.0,648.0,0.0,1.8892128279883382,0.529320987654321,1.0
math,direct,0.8000000000000002,0.0,0.0,0.20000000000000004,0.4000000000000001,1.0000000000000002,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
math,rag,0.8000000000000002,0.0,0.0,0.20000000000000004,0.4000000000000001,1.0000000000000002,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
math,student_note,0.8000000000000002,0.0,0.0,0.20000000000000004,0.4000000000000001,1.0000000000000002,0.6666666666666666,544.0,544.0,0.7477995390275214,3.7777777777777772,0.2647058823529412,1.0
qa,direct,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
qa,rag,1.0,0.0,0.0,0.0,0.8000000000000002,1.8,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
qa,student_note,1.0,0.0,0.0,0.0,0.8000000000000002,1.8,0.9333333333333332,544.0,544.0,0.0,3.7777777777777772,0.2647058823529412,1.0
sentiment,direct,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sentiment,rag,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sentiment,student_note,1.0,0.0,0.0,0.0,1.0,2.0,1.0,544.0,544.0,0.0,2.365217391304348,0.4227941176470588,1.0
